PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
75164 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75191 CEDEX 04,Paris 04,Paris 04,48.8601,2.3507,1,French Restaurant,Bakery,Art Gallery,Plaza,Cocktail Bar,Hotel,Gay Bar,Bar,Burger Joint,Gym / Fitness Center
75208 CEDEX 16,Paris 16,Paris 16,48.8637,2.2769,2,Bakery,French Restaurant,Café,Pizza Place,Hotel Bar,Italian Restaurant,Grocery Store,Garden,Restaurant,Chinese Restaurant
75217 CEDEX 16,Paris 16,Paris 16,48.8637,2.2769,2,Bakery,French Restaurant,Café,Pizza Place,Hotel Bar,Italian Restaurant,Grocery Store,Garden,Restaurant,Chinese Restaurant
75230 CEDEX 05,Paris 05,Paris 05,48.8448,2.3471,4,French Restaurant,Wine Bar,Italian Restaurant,Plaza,Pub,Creperie,Coffee Shop,Hotel,Bar,Greek Restaurant
75239 CEDEX 05,Paris 05,Paris 05,48.8448,2.3471,4,French Restaurant,Wine Bar,Italian Restaurant,Plaza,Pub,Creperie,Coffee Shop,Hotel,Bar,Greek Restaurant
75244 CEDEX 13,Paris 13,Paris 13,48.8322,2.3561,3,Hotel,French Restaurant,Thai Restaurant,Vietnamese Restaurant,Indian Restaurant,Bar,Asian Restaurant,Bakery,Italian Restaurant,Gaming Cafe
75253 CEDEX 05,Paris 05,Paris 05,48.8448,2.3471,4,French Restaurant,Wine Bar,Italian Restaurant,Plaza,Pub,Creperie,Coffee Shop,Hotel,Bar,Greek Restaurant
75298 CEDEX 06,Paris 06,Paris 06,48.8493,2.33,4,French Restaurant,Bakery,Chocolate Shop,Hotel,Art Gallery,Italian Restaurant,Wine Bar,Cocktail Bar,Coffee Shop,Miscellaneous Shop
75321 CEDEX 07,Paris 07,Paris 07,48.8565,2.3209999999999997,4,French Restaurant,Hotel,Bistro,Bakery,Park,Seafood Restaurant,Art Museum,Coffee Shop,Italian Restaurant,Historic Site
75376 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75386 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75391 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75394 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75401 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75402 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75405 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75412 CEDEX 08,Paris 08,Paris 08,48.8763,2.3183,3,Hotel,Café,Italian Restaurant,French Restaurant,Thai Restaurant,Bar,Wine Shop,Japanese Restaurant,Theater,Bistro
75432 CEDEX 09,Paris 09,Paris 09,48.8718,2.3399,1,French Restaurant,Pizza Place,Bistro,Japanese Restaurant,Hotel,Wine Bar,Cheese Shop,Fish & Chips Shop,Seafood Restaurant,Fast Food Restaurant
75457 CEDEX 09,Paris 09,Paris 09,48.8718,2.3399,1,French Restaurant,Pizza Place,Bistro,Japanese Restaurant,Hotel,Wine Bar,Cheese Shop,Fish & Chips Shop,Seafood Restaurant,Fast Food Restaurant
75460 CEDEX 10,Paris 10,Paris 10,48.8709,2.3561,1,French Restaurant,Hotel,Bar,Cocktail Bar,Breakfast Spot,Indian Restaurant,Restaurant,Pizza Place,Seafood Restaurant,Bakery
75463 CEDEX 10,Paris 10,Paris 10,48.8709,2.3561,1,French Restaurant,Hotel,Bar,Cocktail Bar,Breakfast Spot,Indian Restaurant,Restaurant,Pizza Place,Seafood Restaurant,Bakery
75512 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75545 CEDEX 11,Paris 11,Paris 11,48.8574,2.3795,1,French Restaurant,Bistro,Café,Cocktail Bar,Bar,Pastry Shop,Italian Restaurant,Wine Bar,Plaza,Pub
75553 CEDEX 11,Paris 11,Paris 11,48.8574,2.3795,1,French Restaurant,Bistro,Café,Cocktail Bar,Bar,Pastry Shop,Italian Restaurant,Wine Bar,Plaza,Pub
